Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
houses in guanajuato mexico,16,6,110,13,0.29,commercial,https://www.mexicolife.com/guanajuato-real-estate.php,-2,0,0.00,0.04,133,"[100,100,82,52,64,64,82,52,52,64,29,52]",2026-04-17,Organic,Local pack,
bucerias,22,0,2900,18,1.21,informational,https://www.mexicolife.com/living-in-bucerias-mexico.php,2,0.04,2.00,0.09,1210000,"[100,66,81,66,44,44,44,35,29,35,44,53]",2026-04-14,Organic,,
beachfront homes for sale in mexico,15,10,90,20,0.29,transactional,https://www.mexicolife.com/oceanfront-beachfront.php,-2,0,0.00,0.42,2230000,"[53,42,42,26,42,34,53,42,42,26,26,26]",2026-04-19,Organic,,
casas en venta en nuevo vallarta,9,18,90,1,0.19,commercial,https://www.mexicolife.com/nuevo-vallarta-real-estate.php,2,0.04,0.00,0.1,108,"[78,64,64,78,64,64,64,64,50,50,50,50]",2026-04-17,Organic,,
punta mita homes for sale,11,9,110,0,0.45,transactional,https://www.mexicolife.com/punta-de-mita-real-estate.php,-2,0,0.00,0.24,217000,"[42,52,66,80,52,42,80,52,23,33,42,66]",2026-04-19,Organic,,
things to do in puerto vallarta,80,46,9900,25,0.48,commercial,https://www.mexicolife.com/blog/top-10-things-to-do-in-puerto-vallarta.html,-2,0,0.00,0.79,12500000,"[100,66,66,54,54,54,54,44,44,44,44,54]",2026-04-14,Organic,People also ask,Discussions and forums
homes for sale in cuernavaca mexico,0,4,170,14,0.03,transactional,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,-2,0,0.00,0.04,771000,"[80,100,100,80,100,80,65,100,53,34,42,34]",2026-04-19,People also ask,,
sayulita property for sale,6,5,140,14,0.07,transactional,https://www.mexicolife.com/sayulita-mls.php,-2,0.09,0.00,0.5,170000,"[100,82,100,82,52,82,100,82,64,82,100,82]",2026-04-14,Organic,,People also ask
homes for sale in guanajuato mexico,14,9,390,6,0.03,transactional,https://www.mexicolife.com/guanajuato-real-estate.php,-2,0.02,0.00,0.03,1530000,"[66,100,66,66,54,66,81,54,54,44,35,44]",2026-04-15,Organic,,People also ask
bucerias all inclusive,1,1,110,20,0.98,commercial,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-2,0.04,1.00,0.96,582000,"[42,100,80,100,34,26,19,26,26,19,34,34]",2026-04-17,People also ask,"Video Carousel, Discussions and forums",
puerto vallarta homes for sale,38,0,2900,18,0.19,transactional,https://www.mexicolife.com/puerto-vallarta-homes-for-sale.php,2,0.04,0.00,0.36,483,"[100,81,66,53,53,44,44,53,53,24,44,24]",2026-04-15,Organic,,
bucerias rentals,4,0,170,24,1.06,transactional,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,2,0.04,2.00,0.71,491000,"[32,26,26,32,11,11,14,14,14,14,11,11]",2026-04-19,People also ask,,
bucerias rentals,4,0,170,24,1.06,transactional,https://www.mexicolife.com/bucerias-condos-for-sale.php,2,0.04,2.00,0.71,491000,"[32,26,26,32,11,11,14,14,14,14,11,11]",2026-04-19,People also ask,,
buceria,18,4,260,20,0.97,informational,https://www.mexicolife.com/living-in-bucerias-mexico.php,-2,0,0.00,0.11,1230000,"[66,1,0,0,1,1,5,0,0,10,5,30]",2026-04-14,Organic,,
condos for sale in puerto vallarta under $100k,7,16,70,0,0.30,transactional,https://www.mexicolife.com/ready-to-live/under-100000/,2,0.04,0.00,0.12,14700,"[23,23,23,7,17,28,12,2,5,23,17,17]",2026-04-19,Organic,,People also ask
quinta del mar,12,10,90,24,0.53,commercial,https://www.mexicolife.com/quinta-del-mar-for-sale.php,-2,0,0.00,0.11,108,"[18,11,18,18,15,18,23,18,18,11,15,11]",2026-04-20,Organic,"Local pack, Image pack",
homes for sale in pv mexico,16,5,50,15,0.21,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-2,0,0.00,0.45,6050000,"[19,26,26,15,19,19,26,19,19,7,7,7]",2026-04-14,Organic,,
houses in mexico for sale,0,18,880,44,0.36,transactional,https://www.mexicolife.com/,-1,0,0.00,0.17,76100000,"[54,66,54,30,36,24,36,54,30,24,24,24]",2026-04-19,Organic,,
nayarit riviera,14,0,720,30,1.24,informational,https://www.mexicolife.com/towns-in-riviera-nayarit.php,1,0.02,1.00,0.19,4950000,"[7,13,10,10,16,8,13,18,13,13,13,10]",2026-04-14,Organic,,
property in mexico,40,19,1300,20,0.33,"commercial, informational",https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,-1,0,0.00,0.22,535000000,"[100,79,54,30,41,54,66,41,54,41,24,30]",2026-04-19,Organic,,People also ask
mexico real estate beachfront,17,9,140,25,0.33,commercial,https://www.mexicolife.com/oceanfront-beachfront.php,-1,0,0.00,0.24,3930000,"[35,29,35,29,29,29,35,29,22,18,14,8]",2026-04-19,Organic,,People also ask
nuevo vallarta condos for sale,9,0,70,0,0.11,transactional,https://www.mexicolife.com/dtoscana-nuevo-vallarta-for-sale.php,1,0.02,0.00,0.31,227000,"[42,33,52,23,33,42,42,42,23,19,23,19]",2026-04-17,Organic,,
beachfront homes for sale under $100 k,11,9,140,4,0.28,transactional,https://www.mexicolife.com/pool/under-100000/,1,0.02,0.00,0.4,2580000,"[8,13,3,6,16,5,13,16,6,2,3,1]",2026-04-16,Organic,,"People also ask, AI overview"
bucerias condos for sale,6,0,90,0,0.17,transactional,https://www.mexicolife.com/bucerias-condos-for-sale.php,1,0.02,0.00,0.36,85000,"[100,64,82,41,64,41,41,41,29,29,41,41]",2026-04-14,People also ask,,
zona dorada,0,2,170,25,1.14,informational,https://www.mexicolife.com/zona-dorada.php,-1,0,0.00,0.09,39400000,"[13,10,55,8,4,4,4,8,6,5,5,1]",2026-04-15,Image pack,,
homes for sale puerto vallarta,0,18,1000,22,0.21,transactional,https://www.mexicolife.com/gated-communities.php,-1,0,0.00,0.36,1590000,"[66,44,27,24,24,24,36,24,20,16,10,8]",2026-04-15,Organic,,
tecate mexico homes for sale,0,7,110,4,0.00,transactional,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,-1,0,0.00,0.03,51000,"[33,33,52,66,42,52,66,100,66,66,52,42]",2026-04-14,People also ask,,
pavilion luxury condominiums,4,6,40,11,1.61,informational,https://www.mexicolife.com/puerto-vallarta-centro-south-pavilion.php,1,0.04,3.00,0.07,3560000,"[41,41,41,41,29,23,29,29,11,11,11,11]",2026-04-17,Organic,,
real estate in barra de navidad,4,3,70,1,0.31,commercial,https://www.mexicolife.com/barra-de-navidad.php,-1,0.09,1.00,0.04,5880000,"[42,33,52,42,33,23,19,23,33,33,23,23]",2026-04-14,Organic,,
bucerias lodging,4,3,40,26,1.76,commercial,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-1,0,0.00,0.97,82500,"[53,19,26,26,7,11,11,7,11,11,7,7]",2026-04-16,People also ask,,
los marcos,0,1,70,18,0.00,informational,https://www.mexicolife.com/lo-de-marcos-vs-bucerias.php,-1,0,0.00,0.01,1250000000,"[63,81,63,63,9,63,81,81,81,63,63,63]",2026-04-15,People also ask,,
los altos villas,0,6,40,0,1.67,commercial,https://www.mexicolife.com/puerto-vallarta-centro-north-los-altos.php,-1,0,0.00,0.14,6800000,"[22,22,22,22,22,22,33,55,55,100,55,44]",2026-04-17,Organic,,
bucerias nayarit,23,0,2400,22,0.97,informational,https://www.mexicolife.com/bucerias-mls.php,1,0.02,0.00,0.11,1190000,"[8,10,8,54,8,28,36,19,54,54,66,100]",2026-04-15,Organic,,
bucerias puerto vallarta,0,15,720,14,1.00,informational,https://www.mexicolife.com/living-in-bucerias-mexico.php,-1,0,0.00,0.1,1190000,"[44,24,13,18,13,13,16,13,2,3,3,7]",2026-04-14,Organic,,
condos for sale in puerto vallarta under $100k,0,4,70,0,0.28,transactional,https://www.mexicolife.com/blog/puerto-vallarta-condo-market-report-april-2025.html,-1,0,0.00,0.11,11400,"[23,23,23,23,7,17,28,12,2,5,23,17]",2026-04-19,People also ask,,
condos for sale in puerto vallarta under $100k,0,4,70,0,0.28,transactional,https://www.mexicolife.com/versalles-puerto-vallarta-for-sale.php,-1,0,0.00,0.11,11400,"[23,23,23,23,7,17,28,12,2,5,23,17]",2026-04-19,People also ask,,
condos for sale in puerto vallarta under $100k,0,4,70,0,0.28,transactional,https://www.mexicolife.com/puerto-vallarta-centro-south-rincon-de-almas.php,-1,0,0.00,0.11,11400,"[23,23,23,23,7,17,28,12,2,5,23,17]",2026-04-19,People also ask,,
hotels in bucerias,2,1,30,28,1.34,commercial,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-1,0,0.00,0.86,1140000,"[0,52,23,14,14,0,33,0,9,4,4,4]",2026-04-17,People also ask,,
icon vallarta,0,14,210,27,1.07,"informational, transactional",https://www.mexicolife.com/puerto-vallarta-hotel-zone-icon.php,-1,0,0.00,0.33,15800000,"[43,43,54,54,29,43,35,35,35,29,35,43]",2026-04-17,Organic,,
mexico penthouses,0,4,50,4,1.14,commercial,https://www.mexicolife.com/puerto-vallarta-penthouse-condos-for-sale.php,-1,0,0.00,0.11,1550000,"[64,50,7,100,7,50,35,35,7,35,50,7]",2026-04-16,People also ask,,
mexico penthouses,6,7,50,10,1.03,commercial,https://www.mexicolife.com/puerto-vallarta-penthouse-condos-for-sale.php,1,0.02,1.00,0.05,1840000,"[50,7,100,7,50,35,35,7,35,50,7,78]",2026-04-16,Organic,,People also ask
puerto vallarta condo for sale,14,0,210,11,0.24,transactional,https://www.mexicolife.com/puerto-vallarta-condos-for-sale.php,1,0.02,0.00,0.41,474000,"[10,16,55,36,1,1,10,3,36,24,5,6]",2026-04-19,Organic,,
sayulita condos for sale,0,5,70,0,0.08,transactional,https://www.mexicolife.com/sayulita-condos-for-sale.php?p=4,-1,0,0.00,0.25,30600,"[21,21,15,21,21,21,21,15,21,21,15,28]",2026-04-17,Organic,,
chacala mexico,25,40,1900,14,0.91,informational,https://www.mexicolife.com/chacala-mls.php,1,0.02,0.00,0.08,459000,"[54,79,100,79,79,79,79,66,66,54,66,79]",2026-04-15,Organic,,
san juan de abajo nayarit,0,1,110,23,0.00,informational,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-1,0,0.00,0.02,2970000,"[42,52,42,52,52,52,80,80,52,52,42,42]",2026-04-16,People also ask,,
playa bucerias puerto vallarta,0,1,210,27,1.33,informational,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-1,0,0.00,0.1,772000,"[66,35,66,66,66,100,43,23,28,23,28,28]",2026-04-16,AI overview,,
playa bucerias puerto vallarta,1,1,170,18,1.10,informational,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-1,0.11,5.00,0.09,131,"[35,66,66,66,100,43,23,28,23,28,28,23]",2026-04-16,People also ask,,
refugio del mar bucerias,12,8,40,19,1.15,"informational, transactional",https://www.mexicolife.com/refugio-del-mar-bucerias-for-sale.php,-1,0,0.00,0.99,87,"[50,64,35,14,14,21,14,14,78,14,14,50]",2026-04-17,Organic,People also ask,
casas de venta puerto vallarta,65,30,140,10,0.05,commercial,https://www.mexicolife.com/puerto-vallarta-real-estate.php,0,0,0.00,0.11,5420000,"[53,43,43,28,35,43,53,35,23,28,23,23]",2026-04-19,Organic,,
las hamacas sayulita,37,0,70,23,1.55,"informational, navigational",https://www.mexicolife.com/bucerias-mls/200000-300000/,0,0,0.00,0.46,15400,"[34,21,21,21,21,21,21,21,21,21,28,28]",2026-04-15,Organic,,
terrenos en venta puerto vallarta,55,65,70,9,0.10,commercial,https://www.mexicolife.com/puerto-vallarta-land-for-sale.php,0,0,0.00,0.09,707000,"[64,52,52,29,64,41,52,29,41,29,29,29]",2026-04-15,Organic,,People also ask
how to buy property in mexico,0,35,480,19,0.52,informational,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,0,0,0.00,0.2,197000000,"[44,100,67,54,54,54,54,54,44,36,29,36]",2026-04-15,Organic,,
mezzogiorno restaurant bucerias mexico,3,10,70,19,0.17,informational,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,0,0,0.00,0.04,1410,"[78,78,78,14,14,14,14,14,14,14,78,100]",2026-04-17,People also ask,,
where is nayarit,33,0,390,33,0.00,informational,https://www.mexicolife.com/nayarit.php,0,0,0.00,0,135,"[66,66,54,66,66,66,81,66,81,66,81,100]",2026-04-17,Organic,,
can american buy house in mexico,45,8,70,5,0.55,informational,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,0,0,0.00,0.02,168,"[0,14,78,64,100,64,64,64,64,64,50,14]",2026-04-17,Organic,Short videos,People also ask
puerto vallarta real estate,0,53,3600,43,0.20,commercial,https://www.mexicolife.com/versalles-puerto-vallarta-for-sale.php,0,0,0.00,0.44,4070000,"[81,81,66,54,66,54,66,54,43,36,36,28]",2026-04-19,Organic,,
puerto vallarta real estate,0,77,3600,43,0.20,commercial,https://www.mexicolife.com/marina-vallarta-condos-for-sale.php,0,0,0.00,0.44,4070000,"[81,81,66,54,66,54,66,54,43,36,36,28]",2026-04-19,Organic,,
puerto vallarta real estate,39,35,3600,41,0.20,commercial,https://www.mexicolife.com/puerto-vallarta-real-estate.php,0,0.04,0.00,0.44,3780000,"[81,81,66,54,66,54,66,54,43,36,36,28]",2026-04-19,Organic,,People also ask
puerto vallarta real estate,80,97,3600,41,0.20,commercial,https://www.mexicolife.com/,0,0,0.00,0.44,3780000,"[81,81,66,54,66,54,66,54,43,36,36,28]",2026-04-19,Organic,,People also ask
beach towns near puerto vallarta,0,27,30,,0.69,informational,https://www.mexicolife.com/towns-in-riviera-nayarit.php,0,0,0.00,0.18,1420000,"[21,35,14,14,14,21,14,14,21,21,21,21]",2026-04-18,Organic,,
houses for sale in quintana roo mexico,0,7,90,4,0.28,transactional,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,0,0,0.00,0.3,1690000,"[33,52,66,42,33,42,52,52,33,33,52,42]",2026-04-19,People also ask,,
sabbia playa downtown condo,66,0,40,20,0.00,commercial,https://www.mexicolife.com/sabbia-bucerias-for-sale.php,0,0,0.00,0.13,6770,"[29,41,29,41,29,11,17,11,11,11,11,11]",2026-04-17,Organic,,
