Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
houses for sale cabo san lucas,10,4,260,17,0.68,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-5,0.03,0.00,0.65,139,"[29,36,36,36,29,29,29,19,29,36,23,29]",2026-04-15,Organic,,
la paz baja,5,0,480,32,0.81,informational,https://diamanterealtors.com/es/costo-de-vivir-en-la-paz-mexico/,4,0.12,3.00,0.08,120,"[100,81,81,81,66,81,100,66,66,81,100,81]",2026-04-20,People also ask,,
baja california weather december,1,0,70,5,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,4,0.12,0.00,0,4880000,"[19,11,19,19,19,19,26,26,42,26,100,42]",2026-04-15,AI overview,,
baja california weather december,3,2,70,5,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,-4,0.03,0.00,0,4880000,"[19,11,19,19,19,19,26,26,42,26,100,42]",2026-04-15,Organic,People also ask,
weather la paz mexico december,1,0,110,21,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,3,0.09,0.00,0,2250000,"[15,15,15,21,21,34,34,65,43,65,21,65]",2026-04-16,AI overview,,
todos santos houses for sale,9,6,260,0,0.37,transactional,https://diamanterealtors.com/listings-real-estate-todos-santos-any-price/,-3,0.18,2.00,0.52,2800000,"[66,53,100,100,53,53,53,66,66,66,53,53]",2026-04-14,Organic,,
prime cabo real estate for sale,4,0,50,13,0.00,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,3,0.09,0.00,0,4660000,"[22,11,33,77,77,100,55]",2026-04-18,Organic,,
cabo mexico condos for sale,29,12,720,12,0.84,transactional,https://diamanterealtors.com/san-jose-del-cabo-condominiums/,-2,0,0.00,0.6,299000,"[8,100,84,84,68,52,11,16,5,37,3,4]",2026-04-14,Organic,,Image pack
loreto baja real estate,3,2,90,17,0.20,commercial,https://diamanterealtors.com/listings-real-estate-loreto-any-price/,-2,0.22,1.00,0.2,127,"[2,2,6,6,2,4,35,35,29,35,35,35]",2026-04-14,Organic,,
weather la paz mexico december,4,6,110,21,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,2,0.09,0.00,0,2250000,"[15,15,15,21,21,34,34,65,43,65,21,65]",2026-04-16,Organic,,People also ask
weather in rosarito in december,0,1,50,12,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,-2,0,0.00,0.33,156000,"[64,11,11,11,11,11,11,11,11,64,100,64]",2026-04-16,People also ask,,
pescadero real estate,5,6,110,22,0.20,commercial,https://diamanterealtors.com/listings-real-estate-pescadero-any-price/,1,0.12,0.00,0.41,115,"[28,17,23,28,28,28,53,35,23,23,28,17]",2026-04-16,Organic,,See results about
buy property in cabo san lucas,12,4,30,18,0.97,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-1,0,0.00,0.82,3690000,"[60,60,40,40,0,40,100,100,60,100,100,100]",2026-04-18,Organic,,
homes for sale in los cabos mx,10,6,40,34,0.68,transactional,https://diamanterealtors.com/los-cabos-homes/,-1,0,0.00,0.4,96100000,"[28,28,42,42,0,28,57,71,57,100,71,100]",2026-04-18,Organic,,
cabo san lucas houses for sale,12,10,590,15,0.69,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-1,0.12,2.00,0.54,4040000,"[36,27,20,20,10,7,8,7,24,13,5,16]",2026-04-18,Organic,,People also ask
los cabos real estate for sale,0,8,90,50,1.19,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-1,0,0.00,0.82,1130000,"[52,52,52,52,19,52,23,33,52,52,42,52]",2026-04-17,Organic,,
san jose del cabo real estate for sale,9,0,90,1,1.07,transactional,https://diamanterealtors.com/listings-real-estate-san-jose-del-cabo-any-price/,1,0.03,1.00,0.17,1640000,"[19,42,34,34,34,19,26,19,53,34,19,100]",2026-04-17,Organic,,
cabo houses,0,6,260,28,1.01,"commercial, informational",https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-1,0,0.00,0.49,19900000,"[35,43,81,100,35,43,43,54,35,81,22,22]",2026-04-19,Image pack,,
cabo houses,15,20,260,18,0.93,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,1,0.03,0.00,0.32,17300000,"[43,81,100,35,43,43,54,35,81,22,22,43]",2026-04-19,Organic,,People also ask
los barriles baja,6,0,90,19,1.25,informational,https://diamanterealtors.com/about-east-cape-real-estate/,1,0.03,1.00,0.25,4900000,"[42,34,42,26,34,26,34,26,34,34,26,26]",2026-04-16,Organic,,
todos santos houses for sale,16,0,260,0,0.37,transactional,https://diamanterealtors.com/todos-santos-homes/,1,0.03,0.00,0.52,2800000,"[66,53,100,100,53,53,53,66,66,66,53,53]",2026-04-14,Organic,,
cabo condos,30,9,260,22,1.09,commercial,https://diamanterealtors.com/san-jose-del-cabo-condominiums/,-1,0,0.00,0.55,1120000,"[66,81,44,100,66,28,35,15,23,23,23,28]",2026-04-16,Organic,,People also ask
bcsmls,14,0,390,7,0.00,commercial,https://diamanterealtors.com/bcs-mls-real-estate-market-report-fourth-quarter-2025/,1,0.03,0.00,0,55600,"[81,100,100,81,81,81,81,81,81,100,66,54]",2026-04-19,Organic,,
house for sale cabo san lucas,11,10,140,14,0.68,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,1,0.03,0.00,0.65,7580000,"[36,23,23,12,15,12,29,9,36,12,15,19]",2026-04-15,Organic,,People also ask
castillo de arena,10,12,390,3,0.00,"informational, transactional",https://diamanterealtors.com/castillo-de-arena-real-estate/,1,0.03,0.00,0,44600000,"[100,36,36,36,45,8,20,20,36,13,13,20]",2026-04-14,Organic,,See results about
homes in cabo san lucas,39,0,480,18,0.88,commercial,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.26,148,"[81,81,100,100,54,54,54,66,81,44,44,54]",2026-04-15,Organic,,
cuanto cuesta un fideicomiso en california,17,0,40,1,1.86,informational,https://diamanterealtors.com/es/el-fideicomiso/,0,0,0.00,0.22,27900,"[28,42,28,57,28,28,28,28,42,100,71,71]",2026-04-18,Organic,,
pescadero real estate,33,74,110,22,0.20,commercial,https://diamanterealtors.com/punta-pescadero-real-estate/,0,0,0.00,0.41,115,"[28,17,23,28,28,28,53,35,23,23,28,17]",2026-04-16,Organic,,See results about
pescadero real estate,55,27,110,22,0.20,commercial,https://diamanterealtors.com/about-pescadero-real-estate/,0,0,0.00,0.41,115,"[28,17,23,28,28,28,53,35,23,23,28,17]",2026-04-16,Organic,,See results about
los cabos punta ballena,25,31,110,5,2.18,commercial,https://diamanterealtors.com/punta-ballena-real-estate/,0,0,0.00,0.53,1730000,"[52,100,41,64,82,82,52,41,64,100,23,41]",2026-04-16,Organic,,"Video Carousel, People also ask"
san jose del cabo mexico weather in december,51,0,50,14,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,0,0,0.00,0.33,526000,"[11,11,11,11,11,11,11,11,64,64,64,11]",2026-04-16,Organic,,
agencia inmobiliaria near me,14,0,50,99,3.07,transactional,https://diamanterealtors.com/,0,0,0.00,0.48,12500000,"[14,14,14,100,78,14,14,14,14,14,100,14]",2026-04-17,Organic,,
buy property in cabo san lucas,37,0,30,18,0.97,transactional,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.82,3690000,"[60,60,40,40,0,40,100,100,60,100,100,100]",2026-04-18,Organic,,
condo cabo,12,0,40,15,1.09,commercial,https://diamanterealtors.com/los-cabos-condominiums/,0,0,0.00,0.55,3800000,"[60,20,40,60,40,20,80,80,100,100,100,100]",2026-04-18,Organic,,
condo cabo,37,12,40,15,1.09,commercial,https://diamanterealtors.com/san-jose-del-cabo-condominiums/,0,0,0.00,0.55,3800000,"[60,20,40,60,40,20,80,80,100,100,100,100]",2026-04-18,Organic,,
cabo mexico condos for sale,57,32,720,12,0.84,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.6,299000,"[8,100,84,84,68,52,11,16,5,37,3,4]",2026-04-14,Organic,,Image pack
zillow cabo san lucas mexico,0,34,170,24,0.72,commercial,https://diamanterealtors.com/listings-real-estate-la-ventana-any-price/,0,0,0.00,0.67,4460,"[65,80,100,80,65,65,65,80,65,53,53,42]",2026-04-19,Organic,,
prime homes for sale cabo,0,56,50,1,0.00,transactional,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0,6120000,"[9,18,18,63,63,100]",2026-04-18,Organic,,
prime homes for sale cabo,52,20,50,1,0.00,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0,5820000,"[9,18,18,63,63,100,45]",2026-04-18,Organic,,People also ask
prime homes for sale cabo,66,0,50,1,0.00,transactional,https://diamanterealtors.com/listings-real-estate-san-jose-del-cabo-any-price/,0,0,0.00,0,5820000,"[9,18,18,63,63,100,45]",2026-04-18,Organic,,
querencia cabo san lucas,0,15,170,12,1.62,"commercial, navigational",https://diamanterealtors.com/querencia-real-estate/,0,0,0.00,0.46,207000,"[80,53,80,80,80,80,65,53,53,34,34,65]",2026-04-16,Organic,,
cabo condos for sale by owner,0,44,40,4,0.86,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.57,254000,"[17,23,11,17,11,11,23,29,23,17,29,29]",2026-04-18,Organic,,
what state is los cabos mexico in,0,43,70,18,0.00,informational,https://diamanterealtors.com/about-cabo-san-lucas-real-estate/,0,0,0.00,0,5110000,"[11,11,64,64,64,11,64,11,64,11,100,41]",2026-04-15,Organic,,
condos los cabos,37,27,30,17,1.65,commercial,https://diamanterealtors.com/san-jose-del-cabo-condominiums/,0,0,0.00,0.59,419000,"[60,20,40,20,40,20,100,80,80,100,80,100]",2026-04-18,Organic,,People also ask
condos los cabos,75,47,30,17,1.65,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.59,419000,"[60,20,40,20,40,20,100,80,80,100,80,100]",2026-04-18,Organic,,People also ask
villas del mar palmilla for sale,25,29,40,0,0.00,transactional,https://diamanterealtors.com/palmilla-real-estate/palmilla-homes/,0,0,0.00,0.21,53200,"[11,7,11,15,7,7,15,26,26,26,26,19]",2026-04-18,Organic,,
los zacatitos,21,15,90,5,1.78,informational,https://diamanterealtors.com/zacatitos-real-estate/,0,0,0.00,0.15,67500,"[78,78,78,21,28,28,50,50,78,64,64,50]",2026-04-16,Organic,"Image pack, AI overview",
heather zaragoza,57,0,40,17,0.00,informational,https://diamanterealtors.com/loreto-zaragoza-real-estate/,0,0,0.00,0.33,504000,"[36,18,18,100,18,18,18,18,18,100,45,45]",2026-04-16,Organic,,
houses in cabo san lucas mexico,18,0,140,23,0.88,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.26,3370000,"[35,29,66,18,54,81,18,29,4,2,4,10]",2026-04-19,Organic,,
houses in cabo san lucas mexico,36,0,140,23,0.88,commercial,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.26,3370000,"[35,29,66,18,54,81,18,29,4,2,4,10]",2026-04-19,Organic,,
homes for sale in loreto mexico,59,0,320,18,0.17,transactional,https://diamanterealtors.com/about-loreto-real-estate/,0,0,0.00,0.23,499000,"[100,54,54,54,54,54,66,44,54,35,35,35]",2026-04-19,Organic,,
loreto baja real estate,0,29,70,12,0.30,commercial,https://diamanterealtors.com/about-loreto-real-estate/,0,0,0.00,0.29,450000,"[0,2,2,6,6,2,4,35,35,29,35,35]",2026-04-14,Organic,,
loreto baja real estate,0,47,70,12,0.30,commercial,https://diamanterealtors.com/loreto-zaragoza-real-estate/,0,0,0.00,0.29,450000,"[0,2,2,6,6,2,4,35,35,29,35,35]",2026-04-14,Organic,,
loreto baja real estate,26,0,90,17,0.20,commercial,https://diamanterealtors.com/,0,0,0.00,0.2,127,"[2,2,6,6,2,4,35,35,29,35,35,35]",2026-04-14,Organic,,
loreto baja real estate,84,69,90,17,0.20,commercial,https://diamanterealtors.com/loreto-centro-real-estate/,0,0,0.00,0.2,127,"[2,2,6,6,2,4,35,35,29,35,35,35]",2026-04-14,Organic,,
homes for sale in tecate mexico,38,0,90,2,0.00,transactional,https://diamanterealtors.com/,0,0,0.00,0,171000,"[78,78,78,64,64,78,100,64,78,64,50,35]",2026-04-15,Organic,,
homes for sale in tecate mexico,67,0,90,2,0.00,transactional,https://diamanterealtors.com/listings/,0,0,0.00,0,171000,"[78,78,78,64,64,78,100,64,78,64,50,35]",2026-04-15,Organic,,
condo cabo san lucas,13,15,70,11,1.09,commercial,https://diamanterealtors.com/los-cabos-condominiums/,0,0,0.00,0.55,129,"[77,44,55,77,44,33,100,77,77,100,100,100]",2026-04-16,Organic,Local pack,People also ask
condo cabo san lucas,50,0,70,11,1.09,commercial,https://diamanterealtors.com/san-jose-del-cabo-condominiums/,0,0,0.00,0.55,129,"[77,44,55,77,44,33,100,77,77,100,100,100]",2026-04-16,Organic,,
hotel in la paz,0,2,140,38,1.15,commercial,https://diamanterealtors.com/real-centenario/,0,0,0.00,0.92,106000000,"[3,5,0,0,0,1,22,1,0,0,0,0]",2026-04-16,People also ask,,
baja california norte real estate,15,96,110,17,0.22,commercial,https://diamanterealtors.com/,0,0,0.00,0.19,4010000,"[9,52,52,52,33,33,100,80,52,42,66,66]",2026-04-17,Organic,,People also ask
baja california norte real estate,51,0,110,17,0.22,commercial,https://diamanterealtors.com/listings-real-estate-la-paz-any-price/,0,0,0.00,0.19,4010000,"[9,52,52,52,33,33,100,80,52,42,66,66]",2026-04-17,Organic,,
baja california norte real estate,77,0,110,17,0.22,commercial,https://diamanterealtors.com/listings-real-estate-la-paz-any-price/la-paz-homes/,0,0,0.00,0.19,4010000,"[9,52,52,52,33,33,100,80,52,42,66,66]",2026-04-17,Organic,,
baja california norte real estate,88,0,110,17,0.22,commercial,https://diamanterealtors.com/listings-real-estate-loreto-any-price/,0,0,0.00,0.19,4010000,"[9,52,52,52,33,33,100,80,52,42,66,66]",2026-04-17,Organic,,
la paz hotels mexico,0,3,170,36,0.96,commercial,https://diamanterealtors.com/real-centenario/,0,0,0.00,1,9270000,"[66,81,35,43,43,14,22,29,22,18,22,29]",2026-04-15,People also ask,,
homes for sale in cabo,20,0,210,15,0.68,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.65,14000000,"[23,66,23,23,19,23,23,29,29,29,19,15]",2026-04-16,Organic,,
homes for sale in cabo,40,0,210,15,0.68,transactional,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.65,14000000,"[23,66,23,23,19,23,23,29,29,29,19,15]",2026-04-16,Organic,,
apartments in la paz mexico,0,5,30,9,0.68,commercial,https://diamanterealtors.com/cost-of-living-in-la-paz-mexico/,0,0,0.00,0.28,12000000,"[18,18,100,18,18,18,18,18,18,18,18,18]",2026-04-16,People also ask,,
apartments in la paz mexico,9,10,30,21,0.61,commercial,https://diamanterealtors.com/listings-real-estate-la-paz-any-price/la-paz-condominiums/,0,0,0.00,0.33,8280000,"[18,100,18,18,18,18,18,18,18,18,18,18]",2026-04-16,Organic,Local pack,People also ask
apartments in la paz mexico,64,72,30,21,0.61,commercial,https://diamanterealtors.com/listings-real-estate-la-paz-any-price/la-paz-homes/,0,0,0.00,0.33,8280000,"[18,100,18,18,18,18,18,18,18,18,18,18]",2026-04-16,Organic,Local pack,People also ask
home of cabo san lucas,0,86,320,32,0.00,"commercial, informational",https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0,81000000,"[0,0,0,100,0,0,0,0,0,0,0,0]",2026-04-17,Organic,,
san pedro de paz,0,94,70,21,0.00,"informational, transactional",https://diamanterealtors.com/san-pedro-real-estate/,0,0,0.00,0,128000000,"[55,77,55,77,55,55,100,44,100,100,100,100]",2026-04-18,Organic,,
tecate mexico homes for sale,37,0,110,10,0.00,transactional,https://diamanterealtors.com/,0,0,0.00,0,66100,"[33,52,66,42,52,66,100,66,66,52,42,33]",2026-04-15,Organic,,
las barracas,58,0,90,15,0.00,informational,https://diamanterealtors.com/las-barracas-real-estate/,0,0,0.00,0,13800000,"[52,41,41,64,52,41,29,52,82,82,64,64]",2026-04-16,Organic,,
la ventana mx,68,0,70,14,1.28,informational,https://diamanterealtors.com/listings-real-estate-la-ventana-any-price/,0,0,0.00,0.16,76000000,"[36,0,1,0,0,0,0,0,0,0,0,0]",2026-04-15,Organic,,
rancho san lucas,45,69,320,28,2.57,commercial,https://diamanterealtors.com/rancho-san-lucas-real-estate/,0,0,0.00,0.34,8640000,"[7,5,5,18,4,4,4,3,5,3,4,4]",2026-04-14,Organic,,Short videos
does mexico have sales tax,73,0,70,20,0.00,informational,https://diamanterealtors.com/taxes-in-mexico/,0,0,0.00,0.33,127,"[100,100,100,18,100,18,100,18,27,27,18,36]",2026-04-19,Organic,,
mortgage financing in mexico,11,16,140,18,2.38,"commercial, informational",https://diamanterealtors.com/financing-real-estate-in-mexico/,0,0,0.00,0.27,13900000,"[53,65,65,65,65,53,42,34,34,42,19,26]",2026-04-15,Organic,,People also ask
cerritos california houses for sale,25,0,70,32,0.13,transactional,https://diamanterealtors.com/listings-real-estate-cerritos-any-price/,0,0,0.00,0.33,14900000,"[0,0,0,0,0,100,0,0,0,0,66,0]",2026-04-17,Organic,,
seahorse rentals,44,49,30,6,1.00,"informational, transactional",https://diamanterealtors.com/seahorse-rent-a-car/,0,0,0.00,0.23,116,"[27,27,27,18,27,45,36,27,27,18,18,18]",2026-04-18,Organic,,
playas diamante residencial,0,54,90,17,0.00,informational,https://diamanterealtors.com/es/inmuebles/,0,0,0.00,0.04,905000,"[64,52,64,64,52,52,64,64,52,64,41,29]",2026-04-14,Organic,,
casa paz mx,0,20,90,32,0.38,navigational,https://diamanterealtors.com/listings-real-estate-la-paz-any-price/la-paz-homes/,0,0,0.00,0.04,61600000,"[1,1,18,3,18,100,1,1,1,1,1,18]",2026-04-15,Organic,,
buy condo in san jose,57,35,110,35,0.55,transactional,https://diamanterealtors.com/san-jose-del-cabo-condominiums/,0,0,0.00,0.62,10100000,"[0,1,2,0,0,0,100,0,0,0,0,0]",2026-04-15,Organic,,People also ask
home for sale in cabo san lucas,12,11,140,12,0.68,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.65,10600000,"[23,15,12,23,12,23,9,19,15,36,6,23]",2026-04-15,Organic,,People also ask
home for sale in cabo san lucas,35,0,140,12,0.68,transactional,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.65,10600000,"[23,15,12,23,12,23,9,19,15,36,6,23]",2026-04-15,Organic,,
marina sol cabo,0,31,210,3,1.51,informational,https://diamanterealtors.com/marina-sol-real-estate/,0,0,0.00,0.61,18300000,"[54,81,43,43,29,43,35,29,22,35,35,29]",2026-04-16,Organic,,
rosarito mexico weather december,0,1,50,17,0.00,informational,https://diamanterealtors.com/what-to-do-in-baja-sur-in-december/,0,0,0.00,0.33,39500,"[64,11,11,11,11,11,11,11,11,64,64,64]",2026-04-15,People also ask,,
houses for sale in cerritos,20,21,210,27,0.13,transactional,https://diamanterealtors.com/listings-real-estate-cerritos-any-price/,0,0,0.00,0.33,3480000,"[53,82,82,100,66,43,35,28,82,35,43,35]",2026-04-19,Organic,,
santa cruz de los zacatitos,59,13,40,1,2.49,informational,https://diamanterealtors.com/zacatitos-real-estate/,0,0,0.00,0.09,16300,"[50,50,50,50,14,14,21,14,14,14,21,14]",2026-04-16,Organic,,
single family homes for sale in cabo san lucas,82,47,70,10,0.74,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.7,284000,"[26,19,26,19,11,11,26,26,42,26,34,26]",2026-04-15,Organic,,People also ask
car rental in loreto baja mexico,0,56,210,20,1.93,commercial,https://diamanterealtors.com/seahorse-rent-a-car/,0,0,0.00,0.68,57900,"[53,82,66,66,100,66,43,35,53,35,53,28]",2026-04-15,Organic,,
restaurants in la paz,0,6,90,10,0.00,commercial,https://diamanterealtors.com/cost-of-living-in-la-paz-mexico/,0,0,0.00,0.01,79900000,"[14,78,78,78,100,100,50,50,50,50,50,50]",2026-04-19,People also ask,,
los cabos mexico house for sale,30,28,30,15,0.68,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.4,6060000,"[40,20,40,40,20,20,100,100,80,100,100,80]",2026-04-18,Organic,,People also ask
elite villas for sale in cabo,40,0,50,6,0.00,transactional,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0,287000,"[0,11,33,77,100,100,77]",2026-04-15,Organic,,
elite villas for sale in cabo,44,40,50,6,0.00,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0,287000,"[0,11,33,77,100,100,77]",2026-04-15,Organic,,
houses for sale in cabo mexico,14,13,70,16,0.90,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.72,5250000,"[2,3,4,3,2,1,2,2,4,4,4,0]",2026-04-19,Organic,,
houses for sale in cabo mexico,36,41,70,16,0.90,transactional,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.72,5250000,"[2,3,4,3,2,1,2,2,4,4,4,0]",2026-04-19,Organic,,
houses for sale in cabo mexico,77,0,70,16,0.90,transactional,https://diamanterealtors.com/listings-real-estate-san-jose-del-cabo-any-price/,0,0,0.00,0.72,5250000,"[2,3,4,3,2,1,2,2,4,4,4,0]",2026-04-19,Organic,,
pescadero bcs,0,8,30,13,1.53,informational,https://diamanterealtors.com/listings-real-estate-pescadero-any-price/,0,0,0.00,0.09,194000,"[11,64,11,11,11,11,11,11,11,11,11,11]",2026-04-18,Organic,,
rich homes in mexico,0,34,70,28,0.00,commercial,https://diamanterealtors.com/listings-real-estate-todos-santos-any-price/,0,0,0.00,0.02,20900000,"[9,42,66,19,33,100,23,19,19,23,9,66]",2026-04-15,Organic,,
los cabo mexico real estate,33,0,170,44,0.78,commercial,https://diamanterealtors.com/los-cabos-homes/,0,0,0.00,0.26,9690000,"[35,22,54,29,54,54,35,22,100,8,10,22]",2026-04-17,Organic,,
homes for sale in los cabos mx,29,34,40,34,0.68,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.4,96100000,"[28,28,42,42,0,28,57,71,57,100,71,100]",2026-04-18,Organic,,
homes for sale in los cabos mx,95,0,40,34,0.68,transactional,https://diamanterealtors.com/listings-real-estate-san-jose-del-cabo-any-price/,0,0,0.00,0.4,96100000,"[28,28,42,42,0,28,57,71,57,100,71,100]",2026-04-18,Organic,,
punta ballena los cabos,0,33,140,7,2.30,informational,https://diamanterealtors.com/punta-ballena-real-estate/punta-ballena-homes/,0,0,0.00,0.43,305000,"[3,5,2,2,3,4,8,4,7,4,8,5]",2026-04-18,Organic,,
punta ballena los cabos,28,51,140,4,2.18,informational,https://diamanterealtors.com/punta-ballena-real-estate/,0,0,0.00,0.53,315000,"[5,2,2,3,4,8,4,7,4,8,5,5]",2026-04-19,Organic,AI overview,
mexico mls listings,0,20,70,33,0.69,commercial,https://diamanterealtors.com/listings-real-estate-los-barriles-any-price/,0,0,0.00,0.05,9010000,"[7,0,50,50,35,50,35,78,100,50,64,50]",2026-04-15,Organic,,
mexico mls listings,44,0,70,9,0.42,commercial,https://diamanterealtors.com/listings-real-estate-la-paz-any-price/,0,0,0.00,0.05,7370000,"[0,50,50,35,50,35,78,100,50,64,50,50]",2026-04-16,Organic,,
pescadero baja california sur,16,38,30,12,1.16,informational,https://diamanterealtors.com/es/sobre-pescadero-bienes-raices/,0,0,0.00,0.07,348000,"[82,11,11,11,11,11,11,11,11,11,11,11]",2026-04-18,Organic,Short videos,
premier cabo real estate for sale,14,27,40,0,0.00,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0,579000,"[28,28,28,100,100,100,57]",2026-04-18,Organic,,
premier cabo real estate for sale,46,43,40,0,0.00,transactional,https://diamanterealtors.com/listings-real-estate-san-jose-del-cabo-any-price/,0,0,0.00,0,579000,"[28,28,28,100,100,100,57]",2026-04-18,Organic,,
baja club hotel la paz,0,4,590,32,0.85,navigational,https://diamanterealtors.com/real-centenario/,0,0,0.00,0.72,13100000,"[55,55,67,45,36,36,45,55,45,36,30,36]",2026-04-16,People also ask,,
retirement homes in mexico,13,9,260,19,1.30,commercial,https://diamanterealtors.com/retirement-in-mexico/,0,0.03,1.00,0.02,25200000,"[100,43,54,43,43,100,66,54,29,43,43,29]",2026-04-19,Organic,,People also ask
cabos san lucas houses for sale,12,9,30,8,0.69,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,0,0,0.00,0.54,933000,"[60,40,40,60,20,20,100,80,80,80,80,100]",2026-04-18,Organic,Image pack,People also ask
